DepComN,NomCN,DepComA,NomCA,annee
01033,Valserhône,01033,Bellegarde-sur-Valserine ,2018
01033,Valserhône,01091,Châtillon-en-Michaille ,2018
01033,Valserhône,01205,Lancrans  ,2018
01036,Valromey-sur-Séran,01036,Belmont-Luthézieu ,2018
01036,Valromey-sur-Séran,01221,Lompnieu  ,2018
01036,Valromey-sur-Séran,01414,Sutrieu ,2018
01036,Valromey-sur-Séran,01442,Vieu ,2018
01130,Bresse Vallons ,01130,Cras-sur-Reyssouze ,2018
01130,Bresse Vallons ,01154,Étrez  ,2018
01185,Plateau d’Hauteville ,01185,Hauteville-Lompnes ,2018
01185,Plateau d’Hauteville ,01122,Cormaranche-en-Bugey ,2018
01185,Plateau d’Hauteville ,01186,Hostiaz ,2018
01185,Plateau d’Hauteville ,01417,Thézillieu  ,2018
01215,Surjoux-Lhopital ,01215,Lhôpital ,2018
01215,Surjoux-Lhopital ,01413,Surjoux,2018
01227,Magnieu ,01227,Magnieu ,2018
01227,Magnieu ,01341,Saint-Champ ,2018
01453,Arvière-en-Valromey,01453,Virieu-le-Petit ,2018
01453,Arvière-en-Valromey,01059,Brénaz ,2018
01453,Arvière-en-Valromey,01097,Chavornay ,2018
01453,Arvière-en-Valromey,01218,Lochieu ,2018
02018,Anizy-le-Grand ,02018,Anizy-le-Château  ,2018
02018,Anizy-le-Grand ,02301,Faucoucourt  ,2018
02018,Anizy-le-Grand ,02434,Lizy  ,2018
02153,Cessières-Suzy,02153,Cessières ,2018
02153,Cessières-Suzy,02733,Suzy  ,2018
02360,Villeneuve-sur-Aisne,02360,Guignicourt ,2018
02360,Villeneuve-sur-Aisne,02475,Menneville ,2018
05001,Abriès-Ristolas  ,05001,Abriès ,2018
05001,Abriès-Ristolas  ,05120,Ristolas  ,2018
07011,Vallées-d’Antraigues-Asperjoc ,07011,Antraigues-sur-Volane ,2018
07011,Vallées-d’Antraigues-Asperjoc ,07016,Asperjoc ,2018
07103,Saint-Julien-d’Intres,07103,Intres  ,2018
07103,Saint-Julien-d’Intres,07252,Saint-Julien-Boutières ,2018
07165,Belsentes,07165,Nonières ,2018
07165,Belsentes,07256,Saint-Julien-Labrousse ,2018
07262,Saint-Laurent-les-Bains-Laval-d'Aurelle ,07262,Saint-Laurent-les-Bains ,2018
07262,Saint-Laurent-les-Bains-Laval-d'Aurelle ,07135,Laval-d'Aurelle,2018
08173,Flize,08173,Flize ,2018
08173,Flize,08042,Balaives-et-Butz ,2018
08173,Flize,08079,Boutancourt ,2018
08173,Flize,08152,Élan  ,2018
09296,Aulos-Sinsat,09296,Sinsat ,2018
09296,Aulos-Sinsat,09028,Aulos ,2018
09334,Val-de-Sos,09334,Vicdessos,2018
09334,Val-de-Sos,09135,Goulier,2018
09334,Val-de-Sos,09286,Sem,2018
09334,Val-de-Sos,09302,Suc-et-Sentenac,2018
11131,Val-du-Faby,11131,Fa ,2018
11131,Val-du-Faby,11329,Rouvenac ,2018
11251,Val-de-Dagne,11251,Montlaur ,2018
11251,Val-de-Dagne,11298,Pradelles-en-Val  ,2018
11323,Roquetaillade-et-Conilhac,11323,Roquetaillade  ,2018
11323,Roquetaillade-et-Conilhac,11097,Conilhac-de-la-Montagne ,2018
14126,Cambremer ,14126,Cambremer ,2018
14126,Cambremer ,14604,Saint-Laurent-du-Mont ,2018
14150,Cesny-les-Sources,14150,Cesny-Bois-Halbout ,2018
14150,Cesny-les-Sources,14002,Acqueville ,2018
14150,Cesny-les-Sources,14013,Angoville,2018
14150,Cesny-les-Sources,14505,Placy ,2018
14150,Cesny-les-Sources,14703,Tournebu ,2018
14514,Pont-l'Évêque ,14514,Pont-l'Évêque ,2018
14514,Pont-l'Évêque ,14185,Coudray-Rabut  ,2018
14538,Castine-en-Plaine,14538,Rocquancourt  ,2018
14538,Castine-en-Plaine,14339,Hubert-Folie ,2018
14538,Castine-en-Plaine,14691,Tilly-la-Campagne ,2018
14554,Le Castelet,14554,Saint-Aignan-de-Cramesnil ,2018
14554,Le Castelet,14294,Garcelles-Secqueville ,2018
14713,Montillières-sur-Orne,14713,Trois-Monts,2018
14713,Montillières-sur-Orne,14307,Goupillières ,2018
15027,Puycapel,15027,Calvinet  ,2018
15027,Puycapel,15136,Mourjou  ,2018
16005,Aigre,16005,Aigre,2018
16005,Aigre,16411,Villejésus ,2018
16046,Coteaux-du-Blanzacais ,16046,Côteaux du Blanzacais ,2018
16046,Coteaux-du-Blanzacais ,16332,Saint-Léger,2018
16110,Courcôme  ,16110,Courcôme  ,2018
16110,Courcôme  ,16391,Tuzie  ,2018
16110,Courcôme  ,16410,Villegats ,2018
16153,Mainxe-Gondeville,16153,Gondeville ,2018
16153,Mainxe-Gondeville,16202,Mainxe,2018
16192,Terres-de-Haute-Charente,16192,Roumazières-Loubert ,2018
16192,Terres-de-Haute-Charente,16149,Genouillac ,2018
16192,Terres-de-Haute-Charente,16214,Mazières ,2018
16192,Terres-de-Haute-Charente,16259,La Péruse ,2018
16192,Terres-de-Haute-Charente,16376,Suris,2018
16281,La Rochefoucauld-en-Angoumois,16281,La Rochefoucauld ,2018
16281,La Rochefoucauld-en-Angoumois,16344,Saint-Projet-Saint-Constant ,2018
16286,Rouillac,16286,Rouillac ,2018
16286,Rouillac,16156,Gourville ,2018
16339,Val-d'Auge,16339,Auge-Saint-Médard ,2018
16339,Val-d'Auge,16017,Anville ,2018
16339,Val-d'Auge,16051,Bonneville  ,2018
16339,Val-d'Auge,16228,Montigné  ,2018
16406,Moulins-sur-Tardoire,16406,Vilhonneur ,2018
16406,Moulins-sur-Tardoire,16274,Rancogne ,2018
17219,Marennes-Hiers-Brouage ,17219,Marennes ,2018
17219,Marennes-Hiers-Brouage ,17189,Hiers-Brouage ,2018
17340,Saint-Pierre-La-Noue ,17340,Saint-Germain-de-Marencennes ,2018
17340,Saint-Pierre-La-Noue ,17272,Péré,2018
17344,Saint-Hilaire-de-Villefranche ,17344,Saint-Hilaire-de-Villefranche  ,2018
17344,Saint-Hilaire-de-Villefranche ,17169,La Frédière ,2018
18023,Baugy  ,18023,Baugy  ,2018
18023,Baugy  ,18123,Laverdines  ,2018
18023,Baugy  ,18239,Saligny-le-Vif ,2018
18073,Corquoy,18073,Corquoy,2018
18073,Corquoy,18222,Sainte-Lunaise,2018
19019,Beaulieu-sur-Dordogne ,19019,Beaulieu-sur-Dordogne ,2018
19019,Beaulieu-sur-Dordogne ,19032,Brivezac,2018
19098,Lagarde-Marc-la-Tour ,19098,Lagarde-Enval ,2018
19098,Lagarde-Marc-la-Tour ,19127,Marc-la-Tour ,2018
19101,Laguenne-sur-Avalouze,19101,Laguenne,2018
19101,Laguenne-sur-Avalouze,19185,Saint-Bonnet-Avalouze,2018
21178,Valforêt,21178,Clémencey  ,2018
21178,Valforêt,21513,Quemigny-Poisot  ,2018
21272,Le Val-Larrey,21272,Flée  ,2018
21272,Le Val-Larrey,21073,Bierre-lès-Semur ,2018
21352,Longeault-Pluvault  ,21352,Longeault,2018
21352,Longeault-Pluvault  ,21486,Pluvault ,2018
21623,Tart,21623,Tart-le-Haut ,2018
