id,codeCommune,libelleCommune,codeDepartement,libelleDepartement,actual,dateEffet,effet,mod,tmod,libelle,modification,etat,langue,typeProduit,rubrique,tncc,typeModification
5288007,01033,Bellegarde-sur-Valserine,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Bellegarde-sur-Valserine devient commune déléguée (chef-lieu) au sein de Valserhône (01033) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288008,01033,Valserhône,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,"Création de la commune nouvelle de Valserhône en lieu et place des communes de Bellegarde-sur-Valserine (01033), de Châtillon-en-Michaille (01091) et de Lancrans (01205) devenues déléguées.",Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288009,01036,Belmont-Luthézieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Belmont-Luthézieu devient commune déléguée (chef-lieu) au sein de Valromey-sur-Séran (01036) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288010,01036,Valromey-sur-Séran,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,"Création de la commune nouvelle de Valromey-sur-Séran en lieu et place des communes de Belmont-Luthézieu (01036), de Lompnieu (01221), de Sutrieu (01414) et de Vieu (01442) devenues déléguées.",Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288011,01059,Brénaz,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Brénaz devient commune déléguée au sein d'Arvière-en-Valromey (01453) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288012,01091,Châtillon-en-Michaille,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Châtillon-en-Michaille devient commune déléguée au sein de Valserhône (01033) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288013,01097,Chavornay,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Chavornay devient commune déléguée au sein d'Arvière-en-Valromey (01453) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288014,01122,Cormaranche-en-Bugey,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Cormaranche-en-Bugey devient commune déléguée au sein de Plateau d'Hauteville (01185) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288015,01130,Cras-sur-Reyssouze,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Cras-sur-Reyssouze devient commune déléguée (chef-lieu) au sein de Bresse Vallons (01130) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288016,01130,Bresse Vallons,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Bresse Vallons en lieu et place des communes de Cras-sur-Reyssouze (01130) et d'Étrez (01154) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288017,01154,Étrez,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Étrez devient commune déléguée au sein de Bresse Vallons (01130) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288018,01185,Hauteville-Lompnes,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Hauteville-Lompnes devient commune déléguée (chef-lieu) au sein de Plateau d'Hauteville (01185) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288019,01185,Plateau d'Hauteville,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,"Création de la commune nouvelle de Plateau d'Hauteville en lieu et place des communes de Cormaranche-en-Bugey (01122), d'Hauteville-Lompnes (01185), d'Hostiaz (01186) et de Thézillieu (01417) devenues déléguées.",Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288020,01186,Hostiaz,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Hostiaz devient commune déléguée au sein de Plateau d'Hauteville (01185) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288021,01205,Lancrans,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Lancrans devient commune déléguée au sein de Valserhône (01033) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288022,01215,Lhôpital,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Lhôpital devient commune déléguée (chef-lieu) au sein de Surjoux-Lhopital (01215) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288023,01215,Surjoux-Lhopital,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Surjoux-Lhopital en lieu et place des communes de Lhôpital (01215) et de Surjoux (01413) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288024,01218,Lochieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Lochieu devient commune déléguée au sein d'Arvière-en-Valromey (01453) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288025,01221,Lompnieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Lompnieu devient commune déléguée au sein de Valromey-sur-Séran (01036) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288026,01227,Magnieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Magnieu devient commune déléguée (chef-lieu) au sein de Magnieu (01227) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288027,01227,Magnieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Magnieu en lieu et place des communes de Magnieu (01227) et de Saint-Champ (01341) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288028,01341,Saint-Champ,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Saint-Champ devient commune déléguée au sein de Magnieu (01227) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288029,01413,Surjoux,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Surjoux devient commune déléguée au sein de Surjoux-Lhopital (01215) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288030,01414,Sutrieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Sutrieu devient commune déléguée au sein de Valromey-sur-Séran (01036) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288031,01417,Thézillieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Thézillieu devient commune déléguée au sein de Plateau d'Hauteville (01185) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288032,01442,Vieu,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Vieu devient commune déléguée au sein de Valromey-sur-Séran (01036) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288033,01453,Virieu-le-Petit,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,Virieu-le-Petit devient commune déléguée (chef-lieu) au sein d'Arvière-en-Valromey (01453) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5288034,01453,Arvière-en-Valromey,01,Ain,,2019-01-01T01:00:00.000Z,2019-01-01T00:00:00.000+00:00,,MG,"Création de la commune nouvelle d'Arvière-en-Valromey en lieu et place des communes de Brénaz (01059), de Chavornay (01097), de Lochieu (01218) et de Virieu-le-Petit (01453) devenues déléguées.",Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5287795,01025,Bâgé-la-Ville,01,Ain,,2018-01-01T01:00:00.000Z,2018-01-01T00:00:00.000+00:00,,MG,Bâgé-la-Ville devient commune déléguée (chef-lieu) au sein de Bâgé-Dommartin (01025) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5287796,01025,Bâgé-Dommartin,01,Ain,,2018-01-01T01:00:00.000Z,2018-01-01T00:00:00.000+00:00,,MG,Création de la commune nouvelle de Bâgé-Dommartin en lieu et place des communes de Bâgé-la-Ville (01025) et de Dommartin (01144) devenues déléguées.,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
5287797,01144,Dommartin,01,Ain,,2018-01-01T01:00:00.000Z,2018-01-01T00:00:00.000+00:00,,MG,Dommartin devient commune déléguée au sein de Bâgé-Dommartin (01025) (commune nouvelle).,Toutes les créations de communes nouvelles,,FR,communeHistorique,metadonnees,,MG
