old_villeId,new_villeId,old_NCCENR,new_NCCENR
1,1.0,Abergement-Clémenciat,Abergement-Clémenciat
2,2.0,Abergement-de-Varey,Abergement-de-Varey
3,3.0,Ambérieu-en-Bugey,Ambérieu-en-Bugey
4,4.0,Ambérieux-en-Dombes,Ambérieux-en-Dombes
5,5.0,Ambléon,Ambléon
6,6.0,Ambronay,Ambronay
7,7.0,Ambutrix,Ambutrix
8,8.0,Andert-et-Condon,Andert-et-Condon
9,9.0,Anglefort,Anglefort
10,10.0,Apremont,Apremont
11,11.0,Aranc,Aranc
12,12.0,Arandas,Arandas
13,13.0,Arbent,Arbent
14,14.0,Arbignieu,Arboys en Bugey
15,16.0,Arbigny,Arbigny
16,17.0,Argis,Argis
17,18.0,Armix,Armix
18,19.0,Ars-sur-Formans,Ars-sur-Formans
19,20.0,Artemare,Artemare
20,21.0,Asnières-sur-Saône,Asnières-sur-Saône
21,22.0,Attignat,Attignat
22,23.0,Bâgé-la-Ville,Bâgé-Dommartin
23,25.0,Bâgé-le-Châtel,Bâgé-le-Châtel
24,26.0,Balan,Balan
25,27.0,Baneins,Baneins
26,28.0,Beaupont,Beaupont
27,30.0,Bellignat,Bellignat
28,31.0,Béligneux,Béligneux
29,32.0,Bellegarde-sur-Valserine,Valserhône
30,34.0,Belley,Belley
31,35.0,Belleydoux,Belleydoux
32,38.0,Bénonces,Bénonces
33,39.0,Bény,Bény
34,40.0,Béon,Béon
35,41.0,Béréziat,Béréziat
36,42.0,Bettant,Bettant
37,43.0,Bey,Bey
38,44.0,Beynost,Beynost
39,45.0,Billiat,Billiat
40,46.0,Birieux,Birieux
41,47.0,Biziat,Biziat
42,48.0,Blyes,Blyes
43,49.0,Boisse,Boisse
44,50.0,Boissey,Boissey
45,51.0,Bolozon,Bolozon
46,52.0,Bouligneux,Bouligneux
47,53.0,Bourg-en-Bresse,Bourg-en-Bresse
48,54.0,Bourg-Saint-Christophe,Bourg-Saint-Christophe
49,55.0,Boyeux-Saint-Jérôme,Boyeux-Saint-Jérôme
50,56.0,Boz,Boz
51,57.0,Brégnier-Cordon,Brégnier-Cordon
52,431.0,Brénaz,Arvière-en-Valromey
53,59.0,Brénod,Brénod
54,61.0,Bressolles,Bressolles
55,63.0,Briord,Briord
56,64.0,Buellas,Buellas
57,65.0,Burbanche,Burbanche
58,66.0,Ceignes,Ceignes
59,67.0,Cerdon,Cerdon
60,68.0,Certines,Certines
61,69.0,Cessy,Cessy
62,70.0,Ceyzériat,Ceyzériat
63,71.0,Ceyzérieu,Ceyzérieu
64,72.0,Chalamont,Chalamont
65,73.0,Chaleins,Chaleins
66,74.0,Chaley,Chaley
67,75.0,Challes-la-Montagne,Challes-la-Montagne
68,76.0,Challex,Challex
69,77.0,Champagne-en-Valromey,Champagne-en-Valromey
70,78.0,Champdor,Champdor-Corcelles
71,80.0,Champfromier,Champfromier
72,81.0,Chanay,Chanay
73,82.0,Chaneins,Chaneins
74,83.0,Chanoz-Châtenay,Chanoz-Châtenay
75,84.0,Chapelle-du-Châtelard,Chapelle-du-Châtelard
76,85.0,Charix,Charix
77,86.0,Charnoz-sur-Ain,Charnoz-sur-Ain
78,87.0,Château-Gaillard,Château-Gaillard
79,88.0,Châtenay,Châtenay
80,32.0,Châtillon-en-Michaille,Valserhône
81,90.0,Châtillon-la-Palud,Châtillon-la-Palud
82,91.0,Châtillon-sur-Chalaronne,Châtillon-sur-Chalaronne
83,92.0,Chavannes-sur-Reyssouze,Chavannes-sur-Reyssouze
84,93.0,Chavannes-sur-Suran,Nivigne et Suran
85,95.0,Chaveyriat,Chaveyriat
86,431.0,Chavornay,Arvière-en-Valromey
87,97.0,Chazey-Bons,Chazey-Bons
88,98.0,Chazey-sur-Ain,Chazey-sur-Ain
89,99.0,Cheignieu-la-Balme,Cheignieu-la-Balme
90,100.0,Chevillard,Chevillard
91,101.0,Chevroux,Chevroux
92,102.0,Chevry,Chevry
93,103.0,Chézery-Forens,Chézery-Forens
94,104.0,Civrieux,Civrieux
95,105.0,Cize,Cize
