ville_id,ville_INSEE,ville_CDC,ville_CHEFLIEU,ville_REG,ville_DEP,ville_COM,ville_AR,ville_CT,ville_TNCC,ville_ARTMAJ,ville_NCC,ville_ARTMIN,ville_NCCENR,ville_LAT,ville_LONG,ville_CP,ville_dateAdded,ville_dateUpdated,ville_newId
9622,027647,0.0,0.0,23.0,27,647.0,1.0,10.0,0.0,,TOSNY,,Tosny,49.2166672,1.383333,27700,,2014-04-25 14:53:47,
9644,027676,0.0,0.0,23.0,27,676.0,1.0,10.0,0.0,,VENABLES,,Venables,49.2000008,1.3,27940,,2014-04-25 14:53:47,
35120,044060,0.0,0.0,52.0,44,60.0,4.0,10.0,2.0,(LE),FRESNE-SUR-LOIRE,(Le),Fresne-sur-Loire,47.4009018,-0.9283,49123,,2014-04-25 14:54:11,
36727,010904,,,,,,,,,,BELLEY,,Belley,48.2999992,4.1500001,10410,,2014-04-25 14:54:12,
36728,011910,,,,,,,,,,NARBONNE PLAGE,,Narbonne Plage,43.1916656,3.008333,11100,,2014-04-25 14:54:12,
36732,012900,,,,,,,,,,AUBRAC,,Aubrac,44.6166687,2.9833331,12470,,2014-04-25 14:54:12,
36733,013972,,,,,,,,,,CHATEAU GOMBERT,,Chateau Gombert,43.3499985,5.4333329,13013,,2014-04-25 14:54:12,
36734,013905,,,,,,,,,,CALAS,,Calas,43.4500008,5.3499999,13480,,2014-04-25 14:54:12,
36735,001909,,,,,,,,,,LA VALBONNE,,La Valbonne,45.8499985,5.1333332,1360,,2014-04-25 14:54:12,
36737,013940,,,,,,,,,,LA REDONNE,,La Redonne,43.3333321,5.1999998,13820,,2014-04-25 14:54:12,
36739,014363,,,,,,,,,,LIEURY,,Lieury,48.9833336,-0.016667,14170,,2014-04-25 14:54:12,
36742,017917,,,,,,,,,,LA COTINIERE,,La Cotiniere,45.9166679,-1.366667,17310,,2014-04-25 14:54:12,
36743,017923,,,,,,,,,,LES BOUCHOLEURS,,Les Boucholeurs,46.0499992,-1.083333,17340,,2014-04-25 14:54:12,
36747,02A905,,,,,,,,,,SOLENZARA,,Solenzara,41.8359985,9.3736,20145,,2014-04-25 14:54:12,
36748,02A906,,,,,,,,,,GUAGNO LES BAINS,,Guagno Les Bains,42.1683006,8.9490004,20160,,2014-04-25 14:54:12,
36749,02B959,,,,,,,,,,PIETRANERA,,Pietranera,42.7216988,9.4551001,20200,,2014-04-25 14:54:12,
36750,02B950,,,,,,,,,,FOLELLI,,Folelli,42.4669991,9.4587002,20213,,2014-04-25 14:54:12,
36751,02B923,,,,,,,,,,ERBALUNGA,,Erbalunga,42.7737999,9.4741001,20222,,2014-04-25 14:54:12,
36756,022927,,,,,,,,,,L ARCOUEST,,L Arcouest,48.8166656,-3.0166669,22620,,2014-04-25 14:54:12,
36768,029934,,,,,,,,,,MORGAT,,Morgat,48.2333336,-4.5,29160,,2014-04-25 14:54:12,
36769,029902,,,,,,,,,,QUIMERCH,,Quimerch,48.2833328,-4.1166668,29590,,2014-04-25 14:54:12,
36770,029930,,,,,,,,,,LESCONIL,,Lesconil,47.7999992,-4.2166672,29740,,2014-04-25 14:54:12,
36771,029940,,,,,,,,,,PORTSALL,,Portsall,48.5499992,-4.6999998,29830,,2014-04-25 14:54:12,
36772,030930,,,,,,,,,,GALLICIAN,,Gallician,43.6500015,4.3000002,30600,,2014-04-25 14:54:12,
36773,030934,,,,,,,,,,MONTCALM,,Montcalm,43.5750008,4.291667,30600,,2014-04-25 14:54:12,
36774,030929,,,,,,,,,,FRANQUEVAUX,,Franquevaux,43.6500015,4.3499999,30640,,2014-04-25 14:54:12,
36775,030939,,,,,,,,,,ST CESAIRE,,St Cesaire,43.8166656,4.3166671,30900,,2014-04-25 14:54:12,
36776,033940,,,,,,,,,,CAZAUX,,Cazaux,44.5367393,-1.15327,33260,,2014-04-25 14:54:12,
