loc_id,old_villeId,new_villeId,old_NCCENR,new_NCCENR
1,33231.0,37315,Chaville,Chaville
2,33443.0,37528,Luzarches,Luzarches
3,33401.0,37487,Ecouen,Écouen
4,33423.0,37508,Goussainville,Goussainville
5,33443.0,37528,Luzarches,Luzarches
6,37560.0,31671,Paris 12,Paris 12e Arrondissement
7,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
8,33523.0,37608,Villeron,Villeron
9,33248.0,37333,Puteaux,Puteaux
10,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
11,33255.0,37340,Vaucresson,Vaucresson
12,33456.0,37541,Moisselles,Moisselles
13,33435.0,37520,Isle-Adam,Isle-Adam
14,22080.0,24948,Saint-Crépin-Ibouvillers,Saint-Crépin-Ibouvillers
15,33435.0,37520,Isle-Adam,Isle-Adam
16,33442.0,37527,Louvres,Louvres
18,33442.0,37527,Louvres,Louvres
19,33404.0,37490,Epiais-lès-Louvres,Épiais-lès-Louvres
23,33404.0,37490,Epiais-lès-Louvres,Épiais-lès-Louvres
26,33491.0,37576,Saint-Brice-sous-Forêt,Saint-Brice-sous-Forêt
27,36592.0,31674,Paris 15e arrondissement,Paris 15e Arrondissement
29,36592.0,31674,Paris 15e arrondissement,Paris 15e Arrondissement
30,29377.0,33013,Chatou,Chatou
33,33401.0,37487,Ecouen,Écouen
35,33401.0,37487,Ecouen,Écouen
37,21559.0,24388,Amblainville,Amblainville
41,33422.0,37507,Gonesse,Gonesse
43,33401.0,37487,Ecouen,Écouen
47,33401.0,37487,Ecouen,Écouen
48,33386.0,37472,Chaumontel,Chaumontel
49,33386.0,37472,Chaumontel,Chaumontel
52,33386.0,37472,Chaumontel,Chaumontel
56,33442.0,37527,Louvres,Louvres
58,33250.0,37335,Saint-Cloud,Saint-Cloud
62,33250.0,37335,Saint-Cloud,Saint-Cloud
63,33439.0,37524,Lassy,Lassy
64,33439.0,37524,Lassy,Lassy
66,33439.0,37524,Lassy,Lassy
67,33386.0,37472,Chaumontel,Chaumontel
69,33386.0,37472,Chaumontel,Chaumontel
72,33250.0,37335,Saint-Cloud,Saint-Cloud
73,33442.0,37527,Louvres,Louvres
76,33500.0,37585,Saint-Witz,Saint-Witz
80,33471.0,37556,Noisy-sur-Oise,Noisy-sur-Oise
81,33471.0,37556,Noisy-sur-Oise,Noisy-sur-Oise
83,33505.0,37590,Seugy,Seugy
84,33505.0,37590,Seugy,Seugy
86,21971.0,24829,Neuilly-en-Thelle,Neuilly-en-Thelle
87,21971.0,24829,Neuilly-en-Thelle,Neuilly-en-Thelle
89,21876.0,24728,Lamorlaye,Lamorlaye
90,21876.0,24728,Lamorlaye,Lamorlaye
92,21635.0,24468,Bornel,Bornel
95,33401.0,37487,Ecouen,Écouen
99,22138.0,25011,Thiverny,Thiverny
100,22138.0,25011,Thiverny,Thiverny
101,22138.0,25011,Thiverny,Thiverny
102,22138.0,25011,Thiverny,Thiverny
104,33233.0,37317,Clichy,Clichy
106,33233.0,37317,Clichy,Clichy
108,21923.0,24778,Mesnil-en-Thelle,Mesnil-en-Thelle
113,33284.0,37369,Pierrefitte-sur-Seine,Pierrefitte-sur-Seine
114,33227.0,37311,Boulogne-Billancourt,Boulogne-Billancourt
115,33246.0,37331,Neuilly-sur-Seine,Neuilly-sur-Seine
116,33227.0,37311,Boulogne-Billancourt,Boulogne-Billancourt
117,33227.0,37311,Boulogne-Billancourt,Boulogne-Billancourt
118,33443.0,37528,Luzarches,Luzarches
120,33443.0,37528,Luzarches,Luzarches
121,33500.0,37585,Saint-Witz,Saint-Witz
126,33401.0,37487,Ecouen,Écouen
127,22022.0,24887,Pont-Sainte-Maxence,Pont-Sainte-Maxence
133,33505.0,37590,Seugy,Seugy
134,33505.0,37590,Seugy,Seugy
139,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
140,33443.0,37528,Luzarches,Luzarches
142,33443.0,37528,Luzarches,Luzarches
144,33423.0,37508,Goussainville,Goussainville
149,33401.0,37487,Ecouen,Écouen
151,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
152,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
157,33443.0,37528,Luzarches,Luzarches
158,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
160,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
161,36596.0,31678,Paris 19e arrondissement,Paris 19e Arrondissement
165,36596.0,31678,Paris 19e arrondissement,Paris 19e Arrondissement
167,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
168,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
170,33353.0,37439,Asnières-sur-Oise,Asnières-sur-Oise
171,33401.0,37487,Ecouen,Écouen
175,33401.0,37487,Ecouen,Écouen
176,33423.0,37508,Goussainville,Goussainville
182,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
183,33443.0,37528,Luzarches,Luzarches
185,33443.0,37528,Luzarches,Luzarches
186,33443.0,37528,Luzarches,Luzarches
189,33443.0,37528,Luzarches,Luzarches
190,33423.0,37508,Goussainville,Goussainville
192,33423.0,37508,Goussainville,Goussainville
193,33443.0,37528,Luzarches,Luzarches
195,33443.0,37528,Luzarches,Luzarches
200,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
202,33423.0,37508,Goussainville,Goussainville
203,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
204,33423.0,37508,Goussainville,Goussainville
205,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
206,29564.0,33212,Versailles,Versailles
211,29564.0,33212,Versailles,Versailles
212,29564.0,33212,Versailles,Versailles
216,33442.0,37527,Louvres,Louvres
217,33250.0,37335,Saint-Cloud,Saint-Cloud
220,33442.0,37527,Louvres,Louvres
225,21682.0,24519,Chambly,Chambly
226,21682.0,24519,Chambly,Chambly
229,33386.0,37472,Chaumontel,Chaumontel
230,33442.0,37527,Louvres,Louvres
232,33423.0,37508,Goussainville,Goussainville
234,33435.0,37520,Isle-Adam,Isle-Adam
236,33435.0,37520,Isle-Adam,Isle-Adam
238,33443.0,37528,Luzarches,Luzarches
239,33519.0,37604,Viarmes,Viarmes
240,33423.0,37508,Goussainville,Goussainville
243,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
244,36589.0,31671,Paris 12e arrondissement,Paris 12e Arrondissement
245,33519.0,37604,Viarmes,Viarmes
247,33423.0,37508,Goussainville,Goussainville
249,22138.0,25011,Thiverny,Thiverny
250,29564.0,33212,Versailles,Versailles
251,29564.0,33212,Versailles,Versailles
252,33256.0,37341,Ville-d'Avray,Ville-d'Avray
253,33256.0,37341,Ville-d'Avray,Ville-d'Avray
255,29564.0,33212,Versailles,Versailles
257,33439.0,37524,Lassy,Lassy
258,33439.0,37524,Lassy,Lassy
259,29564.0,33212,Versailles,Versailles
260,29564.0,33212,Versailles,Versailles
261,29564.0,33212,Versailles,Versailles
262,29564.0,33212,Versailles,Versailles
263,29564.0,33212,Versailles,Versailles
268,21876.0,24728,Lamorlaye,Lamorlaye
269,33505.0,37590,Seugy,Seugy
273,33505.0,37590,Seugy,Seugy
276,33423.0,37508,Goussainville,Goussainville
279,33443.0,37528,Luzarches,Luzarches
280,33471.0,37556,Noisy-sur-Oise,Noisy-sur-Oise
283,21682.0,24519,Chambly,Chambly
284,21682.0,24519,Chambly,Chambly
285,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
287,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
290,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
294,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
295,33443.0,37528,Luzarches,Luzarches
299,33443.0,37528,Luzarches,Luzarches
305,33250.0,37335,Saint-Cloud,Saint-Cloud
306,21923.0,24778,Mesnil-en-Thelle,Mesnil-en-Thelle
307,21923.0,24778,Mesnil-en-Thelle,Mesnil-en-Thelle
312,21559.0,24388,Amblainville,Amblainville
314,33445.0,37530,Magny-en-Vexin,Magny-en-Vexin
315,33445.0,37530,Magny-en-Vexin,Magny-en-Vexin
316,33423.0,37508,Goussainville,Goussainville
319,33435.0,37520,Isle-Adam,Isle-Adam
320,33435.0,37520,Isle-Adam,Isle-Adam
324,29564.0,33212,Versailles,Versailles
325,29564.0,33212,Versailles,Versailles
328,37568.0,31679,Paris 20,Paris 20e Arrondissement
329,33443.0,37528,Luzarches,Luzarches
332,33443.0,37528,Luzarches,Luzarches
333,21923.0,24778,Mesnil-en-Thelle,Mesnil-en-Thelle
335,29564.0,33212,Versailles,Versailles
336,29564.0,33212,Versailles,Versailles
337,29564.0,33212,Versailles,Versailles
340,33519.0,37604,Viarmes,Viarmes
341,33519.0,37604,Viarmes,Viarmes
345,33443.0,37528,Luzarches,Luzarches
346,33443.0,37528,Luzarches,Luzarches
350,33503.0,37588,Sarcelles,Sarcelles
352,33519.0,37604,Viarmes,Viarmes
355,33519.0,37604,Viarmes,Viarmes
359,33485.0,37570,Puiseux-en-France,Puiseux-en-France
360,33485.0,37570,Puiseux-en-France,Puiseux-en-France
362,33439.0,37524,Lassy,Lassy
363,36588.0,31670,Paris 11e arrondissement,Paris 11e Arrondissement
368,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
374,33505.0,37590,Seugy,Seugy
375,33505.0,37590,Seugy,Seugy
377,21923.0,24778,Mesnil-en-Thelle,Mesnil-en-Thelle
378,21923.0,24778,Mesnil-en-Thelle,Mesnil-en-Thelle
380,22022.0,24887,Pont-Sainte-Maxence,Pont-Sainte-Maxence
383,33477.0,37562,Persan,Persan
384,33477.0,37562,Persan,Persan
386,33423.0,37508,Goussainville,Goussainville
387,33423.0,37508,Goussainville,Goussainville
389,22018.0,24883,Pontarmé,Pontarmé
395,33517.0,37602,Vémars,Vémars
396,33517.0,37602,Vémars,Vémars
400,21684.0,24521,Chantilly,Chantilly
401,21684.0,24521,Chantilly,Chantilly
404,33446.0,37531,Mareil-en-France,Mareil-en-France
408,33409.0,37495,Ezanville,Ézanville
414,33373.0,37459,Bouqueval,Bouqueval
417,33503.0,37588,Sarcelles,Sarcelles
420,33401.0,37487,Ecouen,Écouen
421,29530.0,33177,Saint-Germain-en-Laye,Saint-Germain-en-Laye
422,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
425,33259.0,37344,Aulnay-sous-Bois,Aulnay-sous-Bois
426,33259.0,37344,Aulnay-sous-Bois,Aulnay-sous-Bois
428,33435.0,37520,Isle-Adam,Isle-Adam
432,33443.0,37528,Luzarches,Luzarches
433,33443.0,37528,Luzarches,Luzarches
436,21876.0,24728,Lamorlaye,Lamorlaye
437,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
439,33231.0,37315,Chaville,Chaville
440,33523.0,37608,Villeron,Villeron
443,33514.0,37599,Valmondois,Valmondois
445,33514.0,37599,Valmondois,Valmondois
448,33519.0,37604,Viarmes,Viarmes
449,33519.0,37604,Viarmes,Viarmes
455,33505.0,37590,Seugy,Seugy
456,33505.0,37590,Seugy,Seugy
460,33481.0,37566,Plessis-Gassot,Plessis-Gassot
461,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
462,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
463,29371.0,33007,Celle-Saint-Cloud,Celle-Saint-Cloud
465,6643.0,7344,Dijon,Dijon
466,6643.0,7344,Dijon,Dijon
468,33422.0,37507,Gonesse,Gonesse
469,33523.0,37608,Villeron,Villeron
471,21559.0,24388,Amblainville,Amblainville
475,33443.0,37528,Luzarches,Luzarches
476,33443.0,37528,Luzarches,Luzarches
478,33422.0,37507,Gonesse,Gonesse
481,33422.0,37507,Gonesse,Gonesse
486,33443.0,37528,Luzarches,Luzarches
487,33443.0,37528,Luzarches,Luzarches
491,28980.0,32581,Dammartin-en-Goële,Dammartin-en-Goële
495,28980.0,32581,Dammartin-en-Goële,Dammartin-en-Goële
498,33443.0,37528,Luzarches,Luzarches
500,33443.0,37528,Luzarches,Luzarches
502,33386.0,37472,Chaumontel,Chaumontel
503,33443.0,37528,Luzarches,Luzarches
507,33443.0,37528,Luzarches,Luzarches
512,33399.0,37485,Domont,Domont
513,33399.0,37485,Domont,Domont
515,33443.0,37528,Luzarches,Luzarches
518,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
519,33360.0,37446,Beaumont-sur-Oise,Beaumont-sur-Oise
522,33526.0,37611,Villiers-le-Bel,Villiers-le-Bel
526,33423.0,37508,Goussainville,Goussainville
