Ne sont listées que les entrées dont l'ancien et le nouveau NCCENR diffèrent

+-----+----------+---------------+---------------+--------------------------+-----------------------------+
|     |   loc_id |   old_villeId |   new_villeId | old_NCCENR               | new_NCCENR                  |
|-----+----------+---------------+---------------+--------------------------+-----------------------------|
|   7 |       10 |         37556 |         31667 | Paris 08                 | Paris 8e Arrondissement     |
|  14 |       19 |         29380 |         33016 | Chesnay                  | Chesnay-Rocquencourt        |
|  22 |       28 |         37558 |         31669 | Paris 10                 | Paris 10e Arrondissement    |
|  43 |       60 |         29380 |         33016 | Chesnay                  | Chesnay-Rocquencourt        |
|  45 |       68 |         29399 |         33038 | Epône                    | Épône                       |
|  68 |      104 |         37558 |         31669 | Paris 10                 | Paris 10e Arrondissement    |
|  76 |      124 |         33401 |         37487 | Ecouen                   | Écouen                      |
|  78 |      128 |         36589 |         31671 | Paris 12e arrondissement | Paris 12e Arrondissement    |
|  93 |      165 |         33401 |         37487 | Ecouen                   | Écouen                      |
|  97 |      180 |         33401 |         37487 | Ecouen                   | Écouen                      |
| 110 |      233 |         33409 |         37495 | Ezanville                | Ézanville                   |
| 124 |      290 |         31625 |         35585 | Ceaux-en-Couhé           | Valence-en-Poitou           |
| 138 |      334 |         36583 |         31665 | Paris 6e arrondissement  | Paris 6e Arrondissement     |
| 157 |      421 |         33404 |         37490 | Epiais-lès-Louvres       | Épiais-lès-Louvres          |
| 158 |      422 |         33404 |         37490 | Epiais-lès-Louvres       | Épiais-lès-Louvres          |
| 162 |      435 |         36597 |         31679 | Paris 20e arrondissement | Paris 20e Arrondissement    |
| 169 |      456 |         18515 |         21022 | Château-Gontier          | Château-Gontier-sur-Mayenne |
| 185 |      525 |         37559 |         31670 | Paris 11                 | Paris 11e Arrondissement    |
| 195 |      550 |         37550 |         31661 | Paris 02                 | Paris 2e Arrondissement     |
| 223 |      610 |         32655 |         36674 | Egriselles-le-Bocage     | Égriselles-le-Bocage        |
| 227 |      614 |         37553 |         31664 | Paris 05                 | Paris 5e Arrondissement     |
| 228 |      615 |         37552 |         31663 | Paris 04                 | Paris 4e Arrondissement     |
| 229 |      616 |         37553 |         31664 | Paris 05                 | Paris 5e Arrondissement     |
| 230 |      617 |         37553 |         31664 | Paris 05                 | Paris 5e Arrondissement     |
| 233 |      628 |         33409 |         37495 | Ezanville                | Ézanville                   |
| 243 |      643 |         37553 |         31664 | Paris 05                 | Paris 5e Arrondissement     |
